Name,Model,Notes: (Better/Worse/Same)
default,MML1,NA
edge_grow_family,MML4,NA
net_select_q,MML3,Worse
select_q,MML6,Better
external_q,MML7,Same
drc_features_q,MML15,Worse
annotate_by_prop,MML18,Worse
density_m,MML23,Same
boolean_not_q,MML24,Same
coincident_edge_q,MML37,Worse
stamp_cmds,MML39,NA
enclose_q,MML40,Better
length_edge_q,MML49,Worse
fill_pattern,MML54,Better
decompose_edge_chain,MML55,Worse
flatten,MML56,Worse
shrink_q,MML57,Worse
create_property_layer,MML60,Better
boolean_andoverlap,MML65,NA
process_sync_pairs,MML66,NA
property_to_net,MML67,NA
c_thru,MML68,NA
c_thru_level,MML69,NA
net_polygon_select_q,MML10,NA
mos,MML62,NA
mos_select,MML70,NA
net_path_check,MML71,NA
compress_isolated,MML48,NA
connect_q,MML8,Same
pragma_remote,MML19,NA
non_quasi_cmds,MML25,Worse
select_cmds,MML29,NA
sidesize_chain_q,MML27,Same
create_q,MML11_d,NA
text,MML12,Better
marker_match,MML5,NA
two_color,MML9,Better
uf_preprocess_q,MML16,NA
pattern_match_q,MML17,Better
boolean_and_q,MML22,Better
off_grid_xy,MML26,Better
copy_if_not_covered_q,MML30,Worse
contains_q,MML31,Better
nodal_setup,MML32,Better
wide_cleanup_overlap_q,MML33,Better
text_property,MML34,NA
edge_size_q,MML35,Worse
density_s,MML36,NA
size_inside,MML38,Worse
and_edge_q,MML41,Worse
angle_edge_q,MML42,Better
touching_edge_q,MML43,Worse
not_edge_q,MML44,NA
area_q,MML45,Worse
internal_q,MML46,Worse
internal2_q,MML47,Better
fill_pattern_m,MML50,NA
boolean_or,MML51,Worse
net_select,MML52,NA
gendev_auto,MML58,NA
net_property,MML59,Better
fill_cmds,MML28,Better
optimize_layer_dp,MML20,Worse
create_layer_dp,MML53,Better
process_text_opens,MML14,NA
fast,MML_fast,NA
merge_edge_layer,MML72,NA
explode_rotation,MML73,NA
process_text_shorts,MML13,NA
,,
,,
NA COUNT,29,
Better,17,
Worse,18,
Same,5,
